Название,Компания,Уровень,Зарплата_от,Зарплата_до,Валюта,Опыт,Ссылка,Навыки
Аналитик данных / BI-аналитик,АстраЗенека,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117881862,
"Data Analyst (блок ""В2С"")",СБЕР,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117228230,
Аналитик данных,ФГБУ ДПО ВУНМЦ Минздрава России,Middle,80000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117250601,
Data Analyst (Clickstream),Lamoda Tech,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117459825,
Marketing Data Analyst,Reinvent Baltics,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117363107,
Стажер аналитик данных ВТБ Юниор,Банк ВТБ (ПАО),Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117579769,
Data Analyst,СБЕР,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117963666,
Младший аналитик данных,ПСБ (ПАО «Промсвязьбанк»),Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117217369,
Аналитик данных / Инженер данных/ Data Scientist / Data Analyst / Data engineer,СтандартПроект,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117157465,
Аналитик данных,Калина-Малина,Middle,80000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/112754490,
Аналитик данных (отдел аналитики и цифровизации аудита),Банк ВТБ (ПАО),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117322061,
Аналитик данных (Process Mining),РСХБ-Интех,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117882102,
Руководитель управления аналитики данных и автоматизации бизнес-процессов,Управляющая Компания Эдисон Групп,Senior,200000.0,250000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117734884,
Junior аналитик данных (управленческая отчетность),Банк ВТБ (ПАО),Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/116721105,
Стажер Data Analyst в команду Цифровой портрет телекома (Big Data),МТС,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117725750,
Аналитик данных,Лига Цифровой Экономики,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117557613,
Аналитик данных (Data Analyst)/Проектный менеджер,Томору,Middle,,150000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116844399,
Аналитик данных,Центр технического оборудования,Middle,80000.0,100000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116421569,
Аналитик данных,Т1,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/116832822,
Аналитик данных,СберСпасибо,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117537703,
Data аналитик,САП КОД,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117492217,
Аналитик данных,Maison DELLOS,Middle,90000.0,220000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/116758915,
Data Analyst (Middle),Valiotti Analytics,Middle,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117832163,
"Аналитик данных (Excel, SQL, Python. Офисный формат работы, офис г. Екатеринбург)",Битривер Рус,Middle,100000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/115388275,
Аналитик данных (DWH/ETL),BrainHub,Senior,330000.0,400000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117492054,
Data Analyst (Finance) | Дата аналитик (Финансы),AliExpress,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116837126,
Аналитик данных,Перспектива,Middle,150000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116983851,
Аналитик данных (финансовый департамент),Т1,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/116218544,
Аналитик данных,СИНЕРГИЯ,Middle,100000.0,120000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117728367,
Аналитик данных,ГБУЗ МГОБ № 62 ДЗМ,Middle,90000.0,110000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117907517,
"Data Engineer (DWH, Hadoop, ETL), Data Analyst (BI) / инженер данных, аналитик данных",Быков Я.А.,Senior,250000.0,430000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117992024,
