Название,Компания,Уровень,Зарплата_от,Зарплата_до,Валюта,Опыт,Ссылка,Навыки
Аналитик данных (Стажер),Айти - Альбион,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/116490179,"SQL, Data Analysis, Визуализация данных, Анализ требований, Сбор требований, Бизнес-анализ, Анализ данных"
Аналитик данных,QIWI,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117699299,"SQL, Визуализация данных, Power BI, Формирование аналитической отчетности"
Junior Data Analyst,LiveDune,Junior,,87000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117651971,"SQL, Python, Power BI, Статистика, Анализ данных"
Аналитик данных (Junior),Evercode Lab,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117382720,"SQL, Python, google spreadsheets, OSINT, Data Analysis"
Аналитик данных,"TEXX, компания",Junior,55000.0,,RUR,Нет опыта,https://hh.ru/vacancy/117793883,"умение работать с программами Word, Excel, Power Point, Аналитическое мышление, Формирование отчетности, Работа с большим объемом информации"
Аналитик данных,ГБУ Информационно-Консультационный Центр Департамента Культуры Города Москвы,Middle,140000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117791356,"MS Excel, MS Office, Аналитика, Сбор и анализ информации, Экономика, Анализ финансовых показателей, Автоматизация бизнес-процессов, Информационные технологии"
Аналитик данных / bi-аналитик (middle),ФИНАМ,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118009863,
Начинающий аналитик данных,Медиагруппа РИМ,Junior,60000.0,60000.0,RUR,Нет опыта,https://hh.ru/vacancy/117409176,"MS Excel, Анализ данных, MS SQL, Работа с большим объемом информации, Статистический анализ, Работа в команде, Визуализация данных, Аналитический склад ума, Оптимизация бизнес-процессов"
Data-аналитик в области временных рядов (Junior),ИНИТИ,Junior,247000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117706683,
Data analyst / Аналитик данных,Garage Eight,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117895995,
Аналитик данных,AYA GAMES,Middle,250000.0,400000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117047994,"Power BI, Metabase, Clickhouse, MySQL, gamedev"
Аналитик данных / дата аналитик / data analyst,ПСБ (ПАО «Промсвязьбанк»),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117951603,
Аналитик данных,target ai,Middle,150000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116803783,"SQL, Python, Tableau, Metabase, Atlassian Jira, MS Excel, MS PowerPoint, Извлечение данных, Формирование аналитической отчетности, Анализ требований, Интерпретация данных"
ML - инженер/ Data - аналитик,Dinord,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116787976,"Python, pandas, Numpy, SQL, Docker"
Аналитик данных,Честный знак.рф,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117235972,
Аналитик данных,Россети Урал,Middle,57000.0,57000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117988225,
Аналитик данных,Victory Soft,Middle,100000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117491205,
Аналитик данных,Айтиспортс,Middle,100000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117584678,"Аналитическое мышление, Работа с большим объемом информации, Сбор и анализ информации, Математическая статистика, Анализ ассортиментной линейки, Аналитические исследования, MS PowerPoint, Английский язык"
Младший аналитик данных,Центр АЗы,Junior,10000.0,45000.0,RUR,Нет опыта,https://hh.ru/vacancy/115641225,"Анализ данных, Умение принимать решения, Умение работать в коллективе, Навыки составления отчетности, Точность и внимательность к деталям, Работа с системами аналитики, Маркетинговые исследования, Деловая переписка, Деловое общение, Базы данных, Написание текстов, Копирайтинг, Аналитическое мышление, Аналитические исследования, Статистический анализ, Поиск информации в интернет"
Аналитик данных,Атом,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117892933,
Аналитик данных,Mediascope,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117532110,"SQL, Анализ данных"
Аналитик данных,Открытые Технологии,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117747295,
Аналитик данных (финансовые рынки),Центральный банк Российской Федерации (Банк России),Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/109049150,"SQL, Python"
Аналитик данных,ЛИМАК,Middle,77000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117157603,
Data аналитик,Альфа-Банк,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117926412,"PostgreSQL, SQL, BPMN, Системный анализ, Моделирование бизнес процессов, UML, MS Visio, Техническая документация"
Аналитик данных (BI-аналитик/Финансовый аналитик данных),Селлер Капитал,Senior,180000.0,220000.0,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117871721,"Python, Финансовые показатели, Power BI, Бизнес-анализ, Исследовательский анализ данных, Визуализация данных, Математическая статистика, Финансовый анализ, MS Excel, Финансовый менеджмент, Работа с большим объемом информации"
Аналитик данных,i2crm,Middle,80000.0,100000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117430904,
Аналитик данных,Эксперт-Гарант,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117975847,"MySQL, Roistat, Битрикс24"
Аналитик данных,Группа Компаний «Линия7»,Middle,60000.0,60000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117882144,"Хранилище данных, MS Excel, Табличная верстка, Работа с базами данных, 1С: Торговля, Аналитическое мышление, Анализ данных"
